user_id,visa_type,filing_status,num_dependents,total_income,foreign_income,foreign_tax_paid,student_loan_interest_paid,paid_tuition,owns_home,state,years_in_us,foreign_tax_credit,student_loan_interest,standard_deduction,earned_income_credit,child_tax_credit,educator_expense,ira_deduction,home_ownership_credit
45,none,head_of_household,3,26980,0,0,0,1,0,CA,20,0,0,1,1,0,0,0,0
46,F-1,single,4,84326,22556,1,0,0,1,NJ,15,1,0,1,0,1,0,0,1
47,none,single,1,30604,0,0,0,1,0,TX,36,0,0,1,1,0,0,0,0
48,none,married_filing_jointly,3,28352,16709,1,0,1,0,PA,41,1,1,1,1,1,0,0,0
49,none,single,0,20792,0,0,0,0,0,IL,31,0,0,1,0,0,0,0,0
50,none,single,0,29318,0,0,1,0,0,TX,45,0,1,1,0,0,0,0,0
51,none,single,2,17599,0,0,0,0,0,FL,44,0,0,0,1,1,1,0,0
52,F-1,married_filing_separately,4,85508,70559,1,0,0,0,PA,6,1,0,0,0,1,0,0,0
53,none,married_filing_jointly,0,29609,0,0,1,0,1,MI,18,0,1,1,0,0,0,0,1
54,F-1,married_filing_jointly,4,16725,30815,0,1,0,1,NY,7,1,1,1,1,1,0,0,1
55,none,married_filing_separately,0,36943,0,0,1,0,1,NY,28,0,1,1,0,0,0,0,1
56,H-1B,married_filing_jointly,4,12621,40141,1,0,0,0,IL,7,1,1,0,1,1,0,1,0
57,O-1,married_filing_jointly,2,20533,54054,1,1,0,0,NY,6,1,1,0,0,1,0,1,0
58,none,single,4,150097,0,0,1,1,1,GA,25,0,0,1,0,1,0,0,0
59,STEM OPT,single,3,16658,21197,1,0,0,0,CA,13,1,0,1,1,1,0,1,0
60,F-1,married_filing_jointly,4,38984,57865,1,0,0,0,NY,9,0,0,1,1,1,0,1,1
61,none,married_filing_jointly,3,323112,0,0,0,0,0,WA,18,0,0,1,0,1,1,0,0
62,none,married_filing_jointly,0,55510,0,0,1,0,0,IL,59,0,1,1,1,0,1,1,0
63,none,married_filing_separately,0,28009,0,0,0,1,0,NY,37,0,0,1,0,0,0,0,0
64,none,married_filing_jointly,4,7413,0,0,1,1,0,NC,22,0,1,1,1,1,0,1,0
65,none,married_filing_jointly,0,51545,0,0,0,0,0,FL,56,0,0,1,0,0,1,0,0
66,none,married_filing_jointly,3,22227,0,0,0,0,0,NY,45,0,0,1,1,1,0,0,0
67,none,single,0,73278,0,0,0,1,0,TX,56,0,0,1,0,0,0,0,0
68,none,single,3,24133,0,0,0,0,0,CA,40,0,0,1,1,1,0,0,0
69,none,single,1,56922,0,0,0,0,0,CA,45,0,0,1,1,1,0,0,0
70,none,single,4,163038,0,0,0,0,1,NC,27,0,0,0,0,0,0,0,0
71,STEM OPT,single,3,81156,34669,1,1,1,1,NY,19,1,1,0,0,1,0,0,1
72,none,head_of_household,2,13541,0,0,0,0,0,WA,55,0,0,1,1,1,0,1,0
73,none,single,0,48053,0,0,0,0,1,CA,51,0,0,1,0,0,0,0,1
74,none,single,1,105570,83,0,0,1,1,TX,33,0,0,1,0,1,0,0,1
75,STEM OPT,single,0,11297,69917,1,1,1,1,OH,4,1,1,1,1,0,0,0,1
76,none,single,3,202501,0,0,1,0,1,CA,56,0,0,1,0,0,0,0,0
77,none,married_filing_jointly,3,50353,0,0,0,0,1,NY,32,0,0,1,1,1,0,1,1
78,none,married_filing_jointly,2,74518,0,0,0,0,0,CA,59,0,0,1,0,1,0,0,0
79,none,married_filing_separately,1,32550,0,0,0,0,0,CA,27,0,0,0,1,1,0,0,0
80,none,married_filing_jointly,2,46244,0,0,1,0,1,PA,32,0,0,1,1,1,0,1,1
81,none,single,2,19830,14276,1,0,0,0,IL,43,1,0,1,1,1,0,0,0
82,none,head_of_household,2,178504,0,0,0,0,0,TX,41,0,0,1,0,1,0,0,0
83,none,single,0,222737,0,0,0,0,0,TX,38,0,0,1,0,0,0,0,0
84,STEM OPT,single,4,306201,14990,1,0,0,0,TX,14,1,0,1,0,0,0,0,0
85,none,single,1,9052,0,0,0,0,1,CA,47,0,0,1,1,1,0,0,1
86,J-1,married_filing_jointly,1,59670,53246,1,1,0,1,AZ,11,1,1,1,0,1,0,0,1
87,none,married_filing_jointly,1,65441,0,0,0,0,0,GA,35,0,0,1,0,1,0,1,0
88,none,single,4,23505,0,0,0,0,0,CA,22,0,0,0,1,1,0,0,0
89,none,married_filing_jointly,4,62039,0,0,0,1,0,FL,37,0,0,1,0,1,0,0,0
90,none,single,4,12173,0,0,0,0,1,CA,18,0,0,0,1,1,0,1,1
91,none,married_filing_jointly,2,166780,0,0,0,0,1,TX,22,0,0,1,0,1,0,0,0
92,none,married_filing_jointly,1,11160,0,0,0,0,1,WA,32,0,0,1,1,1,0,0,1
93,none,single,0,55569,20363,0,1,0,1,CA,47,0,1,0,0,0,0,0,1
94,none,single,2,90243,0,0,1,1,1,VA,33,0,1,1,0,1,0,0,1
95,none,married_filing_jointly,3,25859,0,0,1,0,1,NJ,32,0,1,0,1,1,1,0,1
96,F-1,single,3,152564,18048,1,1,0,1,NC,12,1,0,1,0,1,0,0,0
97,none,single,4,8582,0,0,0,0,0,NY,29,0,0,1,1,1,0,0,0
98,none,single,4,43149,0,0,0,0,1,TX,50,0,0,1,1,1,1,0,1
99,none,qualifying_widow,0,9720,0,0,1,0,1,NJ,55,0,1,1,1,0,0,0,1
100,none,head_of_household,2,22115,0,0,1,0,0,NJ,48,0,1,1,1,1,0,0,0
101,O-1,married_filing_jointly,2,28440,74804,0,0,1,0,PA,3,0,0,1,1,1,0,0,0
102,none,single,2,26920,0,0,0,1,1,CA,29,0,0,1,1,1,0,0,1
103,L-1,qualifying_widow,2,139219,42053,1,1,0,0,TX,13,1,0,1,0,1,0,0,0
104,none,married_filing_separately,3,15441,0,0,1,0,0,CA,31,1,1,1,1,1,0,0,0
105,none,married_filing_jointly,3,10950,0,0,0,0,0,TX,59,0,0,1,1,1,0,0,0
106,none,married_filing_jointly,2,30092,0,0,0,0,1,PA,23,0,0,1,1,1,0,1,0
107,none,single,0,49118,18467,0,0,0,0,NJ,47,0,0,1,0,0,0,1,0
108,none,single,1,69764,0,0,0,0,0,OH,32,0,0,0,0,1,0,0,0
109,none,head_of_household,0,125296,0,0,1,0,1,IL,24,0,0,1,0,0,0,0,1
110,H-1B,married_filing_jointly,1,6405,15176,1,1,0,0,NC,5,1,1,0,1,1,0,0,0
111,none,single,2,202759,0,0,1,1,0,OH,49,0,1,1,1,0,0,0,0
112,none,single,1,21235,0,0,0,1,0,NY,45,0,0,1,1,1,0,0,0
113,none,married_filing_jointly,2,34522,0,0,0,1,0,MI,35,0,0,1,1,1,0,1,0
114,none,single,1,45290,0,0,0,1,1,TX,26,0,0,1,1,1,0,0,1
115,none,head_of_household,3,6289,0,0,1,0,0,WA,25,0,1,1,1,1,1,0,0
116,none,married_filing_jointly,2,30055,0,0,0,1,0,CA,44,0,0,1,1,1,0,0,0
117,none,married_filing_jointly,3,108319,0,0,0,0,1,OH,39,0,0,1,0,0,0,0,1
118,none,single,0,78298,14022,0,0,0,1,NY,54,0,0,1,0,0,1,0,1
119,none,married_filing_jointly,4,28271,0,0,0,1,0,NY,49,0,0,0,1,1,1,1,0
120,F-1,married_filing_jointly,3,53730,38906,1,0,0,1,NY,17,1,0,0,1,0,0,1,1
121,none,married_filing_jointly,3,67196,0,0,1,0,0,CA,45,0,1,0,0,1,0,0,0
122,J-1,single,0,35140,40289,1,1,0,0,NC,19,1,1,1,0,0,0,0,0
123,none,single,4,69095,0,0,0,0,0,FL,21,0,0,1,0,1,0,1,0
124,none,single,3,21581,0,0,1,0,0,NY,33,0,1,1,1,1,0,0,0
125,L-1,married_filing_jointly,2,18943,42777,1,0,1,0,NJ,11,1,0,0,1,1,0,1,0
126,none,single,0,33952,0,0,0,0,1,IL,26,0,0,1,0,0,0,1,1
127,none,single,3,5049,0,0,0,0,1,NJ,51,0,0,1,1,1,0,0,1
128,none,single,4,82780,0,0,1,0,1,CA,32,0,1,1,0,1,0,0,1
129,none,married_filing_jointly,4,47802,0,0,0,1,1,TX,33,0,0,1,1,1,0,0,1
130,none,single,2,36316,0,0,0,0,0,TX,48,0,0,0,1,1,0,1,1
131,none,head_of_household,2,90843,0,0,0,0,0,VA,29,0,0,1,0,1,0,0,0
132,F-1,married_filing_jointly,2,62843,61602,1,1,0,1,MI,4,1,1,1,0,0,0,1,1
133,none,single,0,115545,5491,1,0,0,1,NJ,26,1,0,1,0,0,0,0,1
134,none,married_filing_jointly,1,183846,0,0,0,1,0,IL,18,0,0,1,0,1,0,0,0
135,none,single,4,59724,0,0,1,0,0,TX,20,0,1,1,0,1,0,1,0
136,none,qualifying_widow,4,23207,0,0,1,0,1,FL,36,0,1,1,1,1,0,0,1
137,none,married_filing_jointly,0,85169,0,0,1,0,0,PA,55,0,1,1,0,0,0,0,0
138,none,married_filing_separately,0,23276,0,0,0,1,1,CA,32,0,1,1,0,0,0,0,1
139,none,single,1,22336,0,0,1,0,0,OH,51,0,1,1,1,0,0,1,0
140,none,married_filing_jointly,2,34084,11984,1,0,0,0,NJ,32,1,0,1,1,1,0,0,0
141,none,married_filing_jointly,3,125783,0,0,0,0,0,FL,18,0,0,0,1,1,1,0,0
142,none,head_of_household,2,87131,0,0,1,1,1,OH,21,0,0,1,0,1,0,0,1
143,none,married_filing_jointly,1,98445,0,0,0,0,0,NY,52,0,0,1,0,1,0,0,0
144,none,married_filing_jointly,0,49543,0,0,0,1,1,CA,22,0,0,1,1,0,0,1,1
145,none,single,1,74047,0,0,0,1,1,TX,25,0,0,1,0,1,0,0,1
146,none,single,0,76175,0,0,0,0,1,PA,39,0,0,1,0,0,0,0,1
147,none,married_filing_jointly,4,23873,0,0,0,0,0,GA,20,0,0,0,1,0,0,0,0
148,none,single,0,75316,0,0,0,0,0,FL,45,0,0,1,0,0,0,0,0
149,OPT,single,1,44199,57971,1,0,0,0,TX,8,1,0,1,1,1,0,0,1
150,none,head_of_household,4,30807,0,0,1,0,0,CA,33,0,1,1,1,1,0,0,0
151,none,head_of_household,2,32167,0,0,0,1,0,GA,18,0,0,1,1,1,0,1,0
152,H-1B,single,0,26979,25907,1,1,1,1,FL,3,1,1,1,0,0,0,0,1
153,F-1,married_filing_jointly,1,34446,75740,0,0,0,0,OH,19,0,0,1,1,0,0,0,0
154,none,single,0,44033,0,0,1,0,0,TX,29,0,1,1,0,0,0,0,1
155,F-1,married_filing_jointly,1,80701,49367,1,0,0,0,NC,3,1,0,1,0,1,0,0,0
156,none,single,2,172535,24795,1,0,0,1,FL,25,1,0,1,0,1,0,0,0
157,none,married_filing_jointly,3,73987,0,0,0,1,0,CA,50,0,0,1,0,1,0,1,0
158,none,married_filing_jointly,4,49288,0,0,1,0,1,PA,50,0,1,1,1,1,0,0,1
159,H-1B,married_filing_separately,4,7331,59439,1,0,0,0,NC,12,1,0,1,1,1,1,0,0
160,none,single,2,391224,0,0,0,0,0,WA,57,0,0,1,0,0,1,0,0
161,none,head_of_household,2,23455,0,0,0,0,0,MA,37,0,0,1,1,1,0,0,0
162,none,single,1,24147,0,0,0,0,1,NY,47,0,0,1,1,1,1,0,1
163,none,single,2,138380,0,0,0,0,0,IL,56,0,0,1,0,1,0,0,0
164,none,married_filing_jointly,0,16463,0,0,0,0,1,PA,48,0,0,1,1,0,0,0,1
165,none,single,3,61982,0,0,0,0,0,PA,28,0,0,1,0,1,0,1,0
166,none,head_of_household,0,29242,0,0,1,1,1,CA,31,0,1,1,0,0,1,1,1
167,none,head_of_household,1,35333,0,0,0,0,0,OH,18,0,0,1,1,1,0,0,0
168,none,single,4,46385,0,0,0,0,0,AZ,43,0,0,1,1,1,1,0,0
169,none,qualifying_widow,3,15149,0,0,0,0,1,CA,32,0,0,1,1,1,0,0,1
170,none,single,1,39690,25651,1,0,0,1,TX,35,1,0,1,1,1,0,1,1
171,J-1,married_filing_jointly,4,111676,40399,1,0,0,1,CA,15,1,0,1,0,1,0,0,1
172,none,single,2,41475,0,0,0,1,1,FL,52,0,0,0,1,1,0,0,1
173,none,head_of_household,0,1033762,0,0,0,0,0,NY,18,0,0,1,0,0,0,0,0
174,none,single,4,48168,0,0,0,0,0,FL,21,0,0,1,1,1,1,1,0
175,OPT,single,1,15109,17390,1,0,1,0,NY,10,1,0,1,1,1,0,0,0
176,none,single,1,27739,26399,1,0,0,1,MI,23,1,0,1,1,1,0,0,1
177,none,qualifying_widow,0,7777,0,0,0,1,1,TX,52,0,1,1,1,0,0,0,1
178,none,head_of_household,1,116990,0,0,1,0,1,NC,29,0,0,0,0,1,0,0,1
179,none,married_filing_jointly,0,188135,0,0,0,0,0,MI,46,0,0,1,0,0,0,0,0
180,none,head_of_household,2,94717,0,0,0,0,0,IL,48,0,0,1,0,1,0,0,0
181,none,head_of_household,2,20824,0,0,0,0,1,FL,56,0,0,1,0,1,0,0,1
182,H-1B,married_filing_jointly,2,20227,53781,1,0,0,0,WA,9,1,0,1,1,1,0,0,0
183,H-1B,single,1,86074,29322,1,0,0,0,FL,15,1,0,1,0,1,0,0,0
184,none,married_filing_separately,0,27754,0,0,0,0,0,CA,38,0,0,1,0,0,0,1,0
185,F-1,married_filing_jointly,1,20443,15509,1,1,0,0,CA,13,1,1,1,1,1,0,0,0
186,none,single,4,18486,0,0,0,0,0,VA,48,0,0,1,1,1,0,0,0
187,none,single,1,238505,0,0,0,0,1,CA,53,0,0,1,0,0,0,0,0
188,none,married_filing_jointly,1,29210,0,0,0,0,0,NY,20,0,0,0,1,1,0,0,0
189,none,single,3,93762,0,0,0,0,1,GA,55,0,0,1,1,1,0,0,1
190,none,head_of_household,2,72737,0,0,0,0,0,IL,57,0,0,1,0,1,0,0,0
191,none,single,1,20665,0,0,0,0,0,OH,58,1,0,1,1,1,1,1,0
192,none,single,1,46004,0,0,0,0,0,FL,50,0,0,1,1,1,0,0,0
193,none,head_of_household,2,18015,0,0,0,0,1,OH,43,0,0,1,1,1,0,0,1
194,none,single,4,163268,0,0,1,0,1,CA,58,0,0,1,0,1,0,0,0
195,none,single,4,19541,0,0,0,0,0,TX,58,0,0,0,1,1,0,0,0
196,none,married_filing_jointly,2,61620,0,0,0,1,1,CA,54,0,0,1,0,1,0,1,1
197,none,head_of_household,0,28430,0,0,0,0,0,NY,33,0,0,1,0,0,0,0,0
198,none,single,3,19294,0,0,0,0,0,CA,27,0,0,1,1,1,0,1,0
199,none,single,0,116959,26863,1,1,1,0,PA,20,1,0,1,0,0,0,0,0
200,none,married_filing_separately,4,27748,0,0,0,0,1,TX,21,0,0,1,1,1,0,0,1
201,none,qualifying_widow,2,8547,0,0,0,0,0,FL,40,0,0,1,1,1,0,0,0
202,OPT,married_filing_jointly,0,64982,77231,0,0,0,0,CA,1,0,0,0,0,0,0,0,0
203,H-1B,single,1,23464,68770,1,0,0,0,NY,6,1,0,1,1,1,0,1,0
204,none,single,2,51115,0,0,0,0,1,MI,46,0,0,1,1,0,0,0,1
205,none,single,4,95847,0,0,0,0,0,FL,39,0,0,0,0,1,0,0,0
206,J-1,single,3,61142,48425,1,0,0,1,GA,2,1,0,1,0,0,0,0,1
207,none,married_filing_jointly,0,98708,0,0,0,0,1,NY,55,0,0,0,0,0,1,0,1
208,none,single,2,13789,0,0,1,0,0,TX,48,0,1,0,1,1,0,0,0
209,none,married_filing_jointly,1,130432,0,0,0,1,0,TX,54,0,0,1,0,1,0,0,0
210,OPT,married_filing_jointly,3,33938,45823,1,0,0,0,TX,8,1,0,1,1,1,0,0,1
211,none,married_filing_jointly,0,12283,0,0,0,0,1,NC,18,0,0,1,1,0,0,1,1
212,none,single,4,4870,0,0,0,0,1,TX,51,0,0,1,1,1,0,0,1
213,OPT,head_of_household,0,33605,36152,0,0,0,0,MA,5,1,0,0,0,0,0,0,0
214,none,married_filing_jointly,2,21860,0,0,1,0,0,GA,47,0,1,1,1,1,0,0,0
215,none,married_filing_jointly,0,22167,0,0,1,0,0,FL,33,0,1,1,1,0,0,0,0
216,STEM OPT,single,1,59929,63683,0,0,0,0,MA,16,0,0,1,0,1,0,0,0
217,none,single,2,208614,0,0,0,0,0,TX,54,0,0,1,0,0,0,0,0
218,F-1,head_of_household,3,19702,76162,1,0,1,1,NC,12,1,0,1,1,1,0,0,1
219,L-1,single,1,48186,4495,1,0,0,0,TX,7,1,0,1,1,1,0,0,0
220,none,single,4,26608,0,0,0,0,0,PA,42,0,0,1,1,1,0,0,0
221,none,married_filing_jointly,2,18246,0,0,0,1,0,CA,53,1,0,1,1,1,0,1,0
222,none,married_filing_jointly,4,17776,0,0,0,0,0,NJ,52,0,0,0,1,1,0,1,0
223,H-1B,qualifying_widow,1,194474,19568,1,0,0,1,FL,14,1,0,0,1,1,0,0,0
224,H-1B,single,3,44888,48662,1,1,0,0,IL,18,1,1,1,1,1,0,1,0
225,F-1,head_of_household,0,37381,56584,1,0,0,0,WA,13,1,0,0,0,0,0,1,1
226,none,single,1,23938,0,0,0,0,0,CA,56,1,0,1,1,1,0,0,0
227,none,married_filing_jointly,3,47122,0,0,1,0,0,AZ,31,0,1,1,1,1,0,0,1
228,none,married_filing_jointly,1,24978,0,0,0,0,0,PA,55,0,0,1,1,1,0,1,0
229,none,single,1,251962,0,0,0,0,0,MI,28,0,0,1,0,0,0,1,0
230,none,single,2,55638,0,0,0,1,0,NY,45,0,0,1,1,1,0,1,0
231,F-1,single,2,50287,63495,0,0,0,0,MI,7,0,0,1,1,1,0,0,0
232,none,qualifying_widow,2,49272,0,0,0,0,0,VA,57,0,0,0,1,0,0,0,0
233,none,married_filing_jointly,4,143922,0,0,0,0,0,FL,55,0,0,1,0,1,1,1,0
234,none,head_of_household,2,43483,0,0,0,1,0,GA,41,0,0,1,1,1,0,0,0
235,none,head_of_household,4,28887,0,0,0,0,0,MA,30,0,0,1,1,1,0,0,0
236,none,married_filing_jointly,1,51274,0,0,0,0,0,NC,40,0,0,1,1,1,0,0,0
237,STEM OPT,married_filing_separately,4,90418,7890,0,0,0,0,AZ,15,0,0,1,0,1,0,0,0
238,H-1B,single,1,128626,16435,1,0,0,0,NC,1,1,0,1,0,1,1,0,0
239,none,single,1,53825,0,0,0,1,1,FL,25,0,0,1,1,1,0,0,1
240,none,head_of_household,4,54526,0,0,1,0,0,NJ,26,0,1,1,1,1,0,0,0
241,none,married_filing_separately,0,108387,0,0,1,0,0,OH,44,0,0,0,1,0,1,1,0
242,none,single,4,3786,0,0,0,1,1,CA,19,0,0,1,1,1,1,0,1
243,none,married_filing_jointly,2,48020,0,0,0,0,0,CA,32,0,0,1,1,0,0,0,0
244,none,married_filing_jointly,2,26213,0,0,0,1,0,TX,45,0,0,1,1,1,0,0,0
245,none,head_of_household,4,46734,0,0,0,0,0,NC,48,0,0,1,1,1,0,0,0
246,none,married_filing_jointly,2,61091,29254,1,0,0,0,MI,59,1,0,1,0,1,0,0,0
247,none,single,4,136012,0,0,0,0,0,NJ,49,0,0,1,0,1,0,0,0
248,none,single,1,12758,0,0,0,1,0,CA,50,0,0,1,1,1,0,0,0
249,none,single,2,23217,0,0,0,0,1,CA,45,0,0,1,1,1,1,0,1
250,none,married_filing_jointly,1,19920,0,0,0,0,0,TX,21,0,1,1,1,1,0,0,0
251,OPT,head_of_household,3,25689,27076,1,1,1,1,OH,15,1,1,1,0,1,0,0,1
252,none,married_filing_jointly,4,12923,0,0,0,1,0,NJ,53,0,0,1,1,1,0,1,0
253,none,single,0,303669,0,0,0,0,1,VA,51,0,0,0,0,1,0,0,0
254,none,single,4,97116,0,0,0,0,0,TX,30,0,0,1,0,1,0,0,0
255,none,married_filing_jointly,0,22073,0,0,0,0,0,NC,39,0,0,1,0,0,0,1,0
256,none,head_of_household,3,44978,0,0,0,0,0,OH,26,0,0,0,1,1,0,1,0
257,none,single,4,29993,0,0,0,0,0,WA,53,0,0,1,1,1,0,0,0
258,none,single,3,51047,0,0,0,0,0,NC,58,0,1,1,1,1,0,1,0
259,L-1,married_filing_jointly,4,22226,55314,1,1,0,1,PA,2,1,1,1,1,0,1,0,1
260,none,single,4,11262,0,0,0,0,1,MI,28,0,0,1,1,1,0,0,1
261,none,head_of_household,3,26502,0,0,0,0,1,TX,29,0,0,1,1,1,0,0,1
262,none,single,0,153766,0,0,0,0,0,MI,28,0,0,1,0,0,0,0,0
263,F-1,single,1,11655,63901,1,0,1,1,MI,9,1,0,1,1,1,0,1,1
264,none,head_of_household,0,119063,12732,1,1,0,0,NJ,34,1,0,1,0,0,0,0,0
265,L-1,single,0,73420,72493,1,0,0,1,TX,11,1,0,1,0,0,0,0,1
266,none,single,2,30956,0,0,0,1,0,NJ,30,0,0,1,1,1,1,0,0
267,none,single,0,87121,0,0,0,0,1,CA,47,0,0,1,0,0,0,0,1
268,none,single,0,53516,0,0,0,1,1,NC,23,0,0,1,0,0,0,0,1
269,none,single,0,6478,0,0,1,0,0,WA,40,0,1,0,1,0,0,1,0
270,none,single,3,30819,0,0,0,0,0,CA,46,0,0,1,1,1,0,0,0
271,none,single,1,31643,0,0,1,0,0,IL,25,0,1,1,1,1,1,0,0
272,none,single,4,162835,0,0,0,0,1,OH,47,0,0,1,0,1,1,0,0
273,none,married_filing_jointly,1,30923,0,0,0,0,1,MI,56,0,0,1,1,1,0,1,1
274,none,married_filing_jointly,2,36688,0,0,0,1,0,CA,35,0,0,1,1,1,0,0,0
275,none,single,1,15597,0,0,0,0,0,VA,29,0,0,1,1,1,0,0,0
276,none,single,2,41899,0,0,1,0,0,MA,55,0,1,1,1,1,0,0,0
277,none,married_filing_jointly,4,15214,0,0,1,0,0,OH,54,0,1,1,1,1,0,0,0
278,none,head_of_household,1,117881,0,0,0,0,1,NY,23,0,0,1,0,1,0,0,1
279,F-1,head_of_household,0,30379,49472,1,0,0,1,OH,7,1,0,1,0,0,0,0,1
280,none,single,1,15181,0,0,1,0,0,CA,41,0,1,1,1,1,0,0,0
281,none,single,0,133647,0,0,1,0,0,NC,49,0,0,1,1,0,0,0,0
282,none,single,3,13692,0,0,0,0,1,CA,55,0,0,1,1,1,0,1,1
283,none,single,2,55815,0,0,0,0,1,FL,50,0,0,1,1,1,0,0,1
284,none,married_filing_jointly,2,11631,0,0,0,1,0,CA,24,0,0,0,1,1,0,0,0
285,none,single,3,57740,0,0,1,0,1,GA,52,0,1,1,1,1,0,1,1
286,F-1,single,2,115936,13980,1,0,0,1,IL,19,1,0,1,0,1,0,0,1
287,none,single,2,24750,0,0,0,1,1,GA,44,0,0,1,0,1,1,1,1
288,none,married_filing_jointly,0,15339,0,0,0,0,0,CA,25,0,0,1,1,0,1,0,0
289,none,single,3,15775,0,0,1,1,0,FL,47,0,1,1,0,1,0,0,0
290,F-1,head_of_household,1,42199,1584,1,0,1,0,FL,18,1,0,1,1,1,0,0,0
291,none,single,3,251500,0,0,0,0,1,IL,20,0,1,1,0,0,0,0,0
292,none,head_of_household,0,115978,0,0,1,0,1,CA,37,1,0,1,0,0,0,0,1
293,none,single,0,127189,0,0,0,0,0,OH,25,0,0,1,0,0,1,0,0
294,none,head_of_household,4,16933,0,0,0,0,1,FL,49,0,0,1,1,1,0,0,1
295,none,head_of_household,3,119041,0,0,0,0,0,VA,52,0,0,1,0,1,0,0,0
296,none,qualifying_widow,3,107835,0,0,0,0,1,NY,54,0,0,1,0,1,0,1,1
